pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
40550757830,OLYMPUS IMAGING CORP.,E-M5MarkII,2.5,9.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",22.0,sRGB,OLYMPUS M.12-50mm F3.5-6.3
39799829802,NIKON CORPORATION,NIKON D5200,6.0,18.0,Manual,100.0,Multi-segment,No Flash,14.0,Uncalibrated,14.0 mm f/2.8
27840779547,NIKON CORPORATION,NIKON D7200,60.0,2.8,Manual,800.0,Spot,"Off, Did not fire",11.0,sRGB,Tokina AT-X 116 PRO DX II 11-16mm F2.8
40150926920,Canon,Canon EOS 5D Mark IV,0.6,9.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14mm
29022790868,OLYMPUS CORPORATION,E-M10MarkII,0.07692307692307693,6.3,Manual,200.0,Multi-segment,"On, Did not fire",60.0,Uncalibrated,SIGMA 60mm F2.8 DN
40193255104,Canon,Canon EOS 700D,15.0,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",20.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
39045886580,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3,30.0,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
40075133211,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3,30.0,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
26092831968,NIKON CORPORATION,NIKON D7200,8.0,5.6,Manual,100.0,Center-weighted average,"Off, Did not fire",35.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
28203198258,NIKON,COOLPIX P610,0.16666666666666666,5.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",20.6,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
42114683782,SONY,ILCA-77M2,25.0,3.5,Manual,1000.0,Center-weighted average,"Off, Did not fire",11.0,sRGB,10-20mm F3.5
41829893141,SONY,SLT-A65V,20.0,11.0,Program AE,100.0,Multi-segment,"Off, Did not fire",20.0,sRGB,DT 18-135mm F3.5-5.6 SAM
39508751182,Panasonic,DMC-TZ60,0.25,4.3,Program AE,400.0,Multi-segment,"Off, Did not fire",10.9,sRGB,DT 18-135mm F3.5-5.6 SAM
40055771900,FUJIFILM,X-T2,0.0029411764705882353,5.6,Aperture-priority AE,200.0,Multi-segment,No Flash,35.0,sRGB,XF35mmF1.4 R
40431277405,NIKON CORPORATION,NIKON D7200,5.0,32.0,Aperture-priority AE,400.0,Spot,"Off, Did not fire",80.0,sRGB,18.0-300.0 mm f/3.5-6.3
40364652935,NIKON CORPORATION,NIKON D7200,5.0,32.0,Aperture-priority AE,400.0,Spot,"Off, Did not fire",80.0,sRGB,18.0-300.0 mm f/3.5-6.3
41061864104,NIKON,COOLPIX P510,4.0,3.0,Program AE,100.0,Multi-segment,"Off, Did not fire",4.3,sRGB,18.0-300.0 mm f/3.5-6.3
42017944671,NIKON,COOLPIX P510,4.0,3.0,Program AE,100.0,Multi-segment,"Off, Did not fire",4.3,sRGB,18.0-300.0 mm f/3.5-6.3
27065072678,NIKON CORPORATION,NIKON D600,2.5,10.0,Manual,500.0,Spot,"Off, Did not fire",56.0,sRGB,24.0-85.0 mm f/3.5-4.5
28001554367,Panasonic,DMC-FZ200,0.016666666666666666,2.8,Program AE,400.0,Multi-segment,"Off, Did not fire",4.5,sRGB,24.0-85.0 mm f/3.5-4.5
41294531122,NIKON CORPORATION,NIKON D7200,25.0,16.0,Manual,100.0,Multi-segment,"Off, Did not fire",26.0,sRGB,17.0-70.0 mm f/2.8-4.0
40678620340,NIKON CORPORATION,NIKON D810,10.0,3.2,Manual,1000.0,Other,"Off, Did not fire",15.0,sRGB,TAMRON SP 15-30mm F2.8 Di VC USD A012N
41302896795,SONY,ILCE-6000,10.0,3.2,Manual,3200.0,Multi-segment,"Off, Did not fire",15.0,Uncalibrated,----
28111906488,Canon,Canon EOS 750D,0.003125,2.8,Manual,200.0,Multi-segment,"Off, Did not fire",105.0,sRGB,SIGMA 105mm f/2.8 EX DG OS HSM
40002875721,NIKON,COOLPIX A900,2.0,6.9,Program AE,80.0,Multi-segment,"Off, Did not fire",151.0,sRGB,SIGMA 105mm f/2.8 EX DG OS HSM
41458414921,LEICA CAMERA AG,LEICA Q (Typ 116),0.016666666666666666,1.8,Manual,800.0,Spot,"Off, Did not fire",28.0,Uncalibrated,28.0 mm f/1.7
26974059138,LEICA CAMERA AG,LEICA Q (Typ 116),0.016666666666666666,1.8,Manual,800.0,Spot,"Off, Did not fire",28.0,sRGB,28.0 mm f/1.7
42785836952,Canon,Canon EOS 7D,1.3,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",11.0,sRGB,11-16mm
26499337977,Canon,Canon EOS REBEL T1i,0.005,7.1,Not Defined,100.0,Multi-segment,"Off, Did not fire",55.0,sRGB,11-16mm
27270398277,SONY,ILCE-7R,30.0,4.0,Program AE,500.0,Multi-segment,"Off, Did not fire",33.0,sRGB,FE 16-35mm F4 ZA OSS
25169215857,SONY,ILCE-7R,30.0,4.0,Program AE,500.0,Multi-segment,"Off, Did not fire",33.0,sRGB,FE 16-35mm F4 ZA OSS
27488181408,SONY,ILCE-6000,30.0,4.0,Manual,160.0,Center-weighted average,"Off, Did not fire",33.0,sRGB,----
27379394627,SONY,ILCE-7RM2,1.6,10.0,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",48.0,Uncalibrated,FE 24-70mm F2.8 GM
41241183344,SONY,ILCE-7RM2,1.6,10.0,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",48.0,sRGB,FE 24-70mm F2.8 GM
28286981268,SONY,ILCE-7R,30.0,4.0,Manual,6400.0,Multi-segment,"Off, Did not fire",16.0,sRGB,FE 16-35mm F4 ZA OSS
40993035602,NIKON CORPORATION,NIKON D3200,0.04,6.3,Manual,100.0,Center-weighted average,No Flash,18.0,sRGB,18.0-55.0 mm f/3.5-5.6
27660250397,Canon,Canon EOS 60D,59.0,6.3,Bulb,400.0,Multi-segment,"Off, Did not fire",50.0,sRGB,18.0-55.0 mm f/3.5-5.6
24878583927,Canon,Canon PowerShot SX430 IS,0.04,5.0,Bulb,1600.0,Evaluative,"Off, Did not fire",12.5,sRGB,18.0-55.0 mm f/3.5-5.6
40040908492,SONY,ILCA-77M2,0.008,16.0,Manual,640.0,Spot,"Off, Did not fire",280.0,sRGB,150-600mm F5-6.3 SSM
41145254584,NIKON CORPORATION,NIKON D800E,30.0,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,150-600mm F5-6.3 SSM
41452017305,Canon,Canon EOS 5D Mark III,0.125,4.0,Aperture-priority AE,3200.0,Multi-segment,No Flash,20.0,Uncalibrated,EF16-35mm f/2.8L II USM
39944494325,Canon,Canon EOS 5D Mark III,0.125,4.0,Aperture-priority AE,3200.0,Multi-segment,No Flash,20.0,Uncalibrated,EF16-35mm f/2.8L II USM
